node_id,timestamp,voc_mv,co_mv,pm1_0,pm2_5,pm10,temperature,humidity,label_index,label
node_01,1779969384,2285.0,2919.0,42.0,77.0,82.0,22.7,62.9,0,normal_air
node_01,1779969389,2284.0,2915.0,40.0,74.0,79.0,22.8,61.8,0,normal_air
node_01,1779969394,2303.0,2943.0,39.0,69.0,77.0,22.8,61.4,0,normal_air
node_01,1779969399,2302.0,2941.0,37.0,67.0,75.0,22.8,61.0,0,normal_air
node_01,1779969404,2286.0,2942.0,36.0,66.0,75.0,22.8,60.9,0,normal_air
node_01,1779969409,2283.0,2919.0,36.0,66.0,75.0,22.8,60.7,0,normal_air
node_01,1780602845,2165.0,2764.0,0.0,0.0,0.0,23.1,63.1,0,normal_air
node_01,1780602850,2145.0,2763.0,0.0,0.0,0.0,23.1,63.1,0,normal_air
node_01,1780602855,2144.0,2739.0,0.0,0.0,0.0,23.2,63.2,0,normal_air
node_01,1780602860,2144.0,2737.0,0.0,0.0,0.0,23.1,63.0,0,normal_air
node_01,1780602865,2164.0,2761.0,0.0,0.0,0.0,23.1,63.3,0,normal_air
node_01,1780602870,2165.0,2759.0,0.0,0.0,0.0,23.2,63.3,0,normal_air
node_01,1780602875,2142.0,2736.0,0.0,0.0,0.0,23.2,63.2,0,normal_air
node_01,1780602880,2145.0,2737.0,0.0,0.0,0.0,23.2,63.2,0,normal_air
node_01,1780602885,2145.0,2739.0,0.0,0.0,0.0,23.2,63.2,0,normal_air
node_01,1780602890,2165.0,2761.0,0.0,0.0,0.0,23.2,63.3,0,normal_air
node_01,1780602895,2166.0,2763.0,0.0,0.0,0.0,23.2,63.2,0,normal_air
node_01,1780602900,2143.0,2736.0,0.0,0.0,0.0,23.2,63.5,0,normal_air
node_01,1780602905,2143.0,2739.0,0.0,0.0,0.0,23.2,63.4,0,normal_air
node_01,1780602910,2152.0,2738.0,0.0,0.0,0.0,23.2,63.5,0,normal_air
node_01,1780602915,2167.0,2760.0,0.0,0.0,0.0,23.2,63.5,0,normal_air
node_01,1780602921,2144.0,2756.0,0.0,0.0,0.0,23.2,63.5,0,normal_air
node_01,1780602926,2142.0,2737.0,0.0,0.0,0.0,23.2,63.4,0,normal_air
node_01,1780602931,2147.0,2736.0,0.0,0.0,0.0,23.2,63.5,0,normal_air
node_01,1780602936,2163.0,2758.0,0.0,0.0,0.0,23.2,63.6,0,normal_air
node_01,1780602941,2166.0,2763.0,0.0,0.0,0.0,23.2,63.5,0,normal_air
node_01,1780602946,2143.0,2739.0,0.0,0.0,0.0,23.2,63.5,0,normal_air
node_01,1780602951,2142.0,2739.0,0.0,0.0,0.0,23.2,63.7,0,normal_air
node_01,1780602956,2165.0,2755.0,0.0,0.0,0.0,23.2,63.7,0,normal_air
node_01,1780602961,2164.0,2764.0,0.0,0.0,0.0,23.2,63.7,0,normal_air
node_01,1780602966,2159.0,2763.0,0.0,0.0,0.0,23.3,63.9,0,normal_air
node_01,1780602971,2143.0,2735.0,0.0,0.0,0.0,23.3,63.8,0,normal_air
node_01,1780602976,2144.0,2736.0,0.0,0.0,0.0,23.3,63.9,0,normal_air
node_01,1780602981,2165.0,2763.0,0.0,0.0,0.0,23.2,64.0,0,normal_air
node_01,1780602986,2164.0,2760.0,0.0,0.0,0.0,23.3,64.0,0,normal_air
node_01,1780602991,2144.0,2745.0,0.0,0.0,0.0,23.3,63.8,0,normal_air
node_01,1780602996,2144.0,2736.0,0.0,0.0,0.0,23.3,63.8,0,normal_air
node_01,1780603001,2142.0,2737.0,0.0,0.0,0.0,23.3,63.9,0,normal_air
node_01,1780603006,2165.0,2761.0,0.0,0.0,0.0,23.3,63.9,0,normal_air
node_01,1780603011,2158.0,2755.0,0.0,0.0,0.0,23.3,63.9,0,normal_air
node_01,1780603016,2141.0,2733.0,0.0,0.0,0.0,23.3,63.9,0,normal_air
node_01,1780603021,2142.0,2734.0,0.0,0.0,0.0,23.3,65.9,0,normal_air
node_01,1780603026,2142.0,2733.0,0.0,0.0,0.0,23.4,71.9,0,normal_air
node_01,1780603031,2164.0,2760.0,0.0,0.0,0.0,23.5,74.4,0,normal_air
node_01,1780603036,2164.0,2762.0,0.0,1.0,1.0,23.5,78.3,0,normal_air
node_01,1780603041,2142.0,2734.0,0.0,1.0,1.0,23.6,79.9,0,normal_air
node_01,1780603046,2142.0,2734.0,0.0,0.0,0.0,23.7,82.0,0,normal_air
node_01,1780603051,2154.0,2738.0,0.0,0.0,0.0,23.7,83.6,0,normal_air
node_01,1780603056,2165.0,2762.0,0.0,1.0,1.0,23.7,84.1,0,normal_air
node_01,1780603061,2143.0,2755.0,0.0,0.0,0.0,23.6,82.6,0,normal_air
node_01,1780603066,2145.0,2736.0,0.0,0.0,0.0,23.6,80.3,0,normal_air
node_01,1780603071,2146.0,2738.0,0.0,0.0,0.0,23.7,75.9,0,normal_air
node_01,1780603076,2166.0,2759.0,0.0,0.0,0.0,23.7,72.7,0,normal_air
node_01,1780603081,2163.0,2761.0,0.0,0.0,0.0,23.7,72.0,0,normal_air
node_01,1780603086,2142.0,2734.0,0.0,0.0,0.0,23.7,70.5,0,normal_air
node_01,1780603195,2145.0,2738.0,0.0,0.0,0.0,23.7,65.8,0,normal_air
node_01,1780603200,2165.0,2767.0,0.0,0.0,0.0,23.7,65.9,0,normal_air
node_01,1780603205,2164.0,2765.0,0.0,0.0,0.0,23.7,65.9,0,normal_air
node_01,1780603210,2159.0,2762.0,0.0,0.0,0.0,23.7,65.8,0,normal_air
node_01,1780603215,2147.0,2740.0,0.0,0.0,0.0,23.7,65.7,0,normal_air
node_01,1780603220,2148.0,2742.0,0.0,0.0,0.0,23.7,65.7,0,normal_air
node_01,1780603225,2167.0,2765.0,0.0,0.0,0.0,23.8,65.6,0,normal_air
node_01,1780603230,2167.0,2765.0,0.0,0.0,0.0,23.8,65.5,0,normal_air
node_01,1780603235,2146.0,2744.0,0.0,0.0,0.0,23.8,65.4,0,normal_air
node_01,1780603240,2146.0,2739.0,0.0,0.0,0.0,23.8,65.6,0,normal_air
node_01,1780603245,2146.0,2741.0,0.0,0.0,0.0,23.8,65.7,0,normal_air
node_01,1780603250,2168.0,2767.0,0.0,0.0,0.0,23.8,65.7,0,normal_air
node_01,1780603255,2167.0,2766.0,0.0,0.0,0.0,23.9,65.6,0,normal_air
node_01,1780603260,2147.0,2739.0,0.0,0.0,0.0,23.9,65.5,0,normal_air
node_01,1780603265,2145.0,2739.0,0.0,0.0,0.0,23.9,65.6,0,normal_air
node_01,1780603270,2147.0,2740.0,0.0,0.0,0.0,23.9,65.4,0,normal_air
node_01,1780603275,2167.0,2764.0,0.0,0.0,0.0,23.9,65.2,0,normal_air
node_01,1780603280,2155.0,2766.0,0.0,0.0,0.0,23.9,65.2,0,normal_air
node_01,1780603285,2149.0,2741.0,0.0,0.0,0.0,23.9,65.1,0,normal_air
node_01,1780603290,2147.0,2742.0,0.0,0.0,0.0,23.9,65.2,0,normal_air
node_01,1780603295,2168.0,2749.0,0.0,0.0,0.0,24.0,65.2,0,normal_air
node_01,1780603300,2166.0,2766.0,0.0,0.0,0.0,24.0,65.2,0,normal_air
node_01,1780603305,2145.0,2742.0,0.0,0.0,0.0,24.0,65.1,0,normal_air
node_01,1780603310,2147.0,2738.0,0.0,0.0,0.0,24.0,65.0,0,normal_air
node_01,1780603315,2148.0,2739.0,0.0,0.0,1.0,24.0,65.0,0,normal_air
node_01,1780603320,2167.0,2766.0,0.0,0.0,1.0,24.0,65.1,0,normal_air
node_01,1780603325,2167.0,2763.0,0.0,0.0,0.0,24.0,65.0,0,normal_air
node_01,1780603330,2144.0,2738.0,0.0,0.0,0.0,24.0,64.9,0,normal_air
node_01,1780603335,2144.0,2740.0,0.0,0.0,0.0,24.0,64.9,0,normal_air
node_01,1780603340,2167.0,2755.0,0.0,0.0,0.0,24.1,64.8,0,normal_air
node_01,1780603345,2166.0,2762.0,0.0,0.0,0.0,24.1,64.9,0,normal_air
node_01,1780603350,2163.0,2765.0,0.0,0.0,0.0,24.1,64.8,0,normal_air
node_01,1780603355,2144.0,2740.0,0.0,0.0,0.0,24.1,64.8,0,normal_air
node_01,1780603360,2148.0,2740.0,0.0,0.0,0.0,24.1,64.9,0,normal_air
node_01,1780603365,2168.0,2766.0,0.0,0.0,0.0,24.1,64.8,0,normal_air
node_01,1780603370,2167.0,2765.0,0.0,0.0,0.0,24.1,64.8,0,normal_air
node_01,1780603375,2146.0,2756.0,0.0,0.0,0.0,24.1,64.7,0,normal_air
node_01,1780603380,2143.0,2741.0,0.0,0.0,0.0,24.1,64.7,0,normal_air
node_01,1780603385,2144.0,2738.0,0.0,0.0,0.0,24.1,64.7,0,normal_air
node_01,1780603390,2167.0,2764.0,0.0,0.0,0.0,24.1,64.7,0,normal_air
node_01,1780603395,2165.0,2766.0,0.0,0.0,0.0,24.1,64.8,0,normal_air
node_01,1780603400,2144.0,2737.0,0.0,0.0,0.0,24.2,64.7,0,normal_air
node_01,1780603405,2145.0,2737.0,0.0,0.0,0.0,24.1,64.7,0,normal_air
node_01,1780603410,2145.0,2739.0,0.0,0.0,0.0,24.2,64.7,0,normal_air
node_01,1780603415,2167.0,2765.0,0.0,0.0,0.0,24.2,64.8,0,normal_air
node_01,1780603420,2166.0,2765.0,0.0,0.0,0.0,24.2,64.6,0,normal_air
node_01,1780603425,2146.0,2741.0,0.0,0.0,0.0,24.2,64.7,0,normal_air
node_01,1780603430,2144.0,2739.0,0.0,0.0,0.0,24.2,64.9,0,normal_air
node_01,1780603435,2152.0,2740.0,0.0,0.0,0.0,24.2,64.8,0,normal_air
node_01,1780603440,2166.0,2764.0,0.0,0.0,0.0,24.2,64.7,0,normal_air
node_01,1780603445,2147.0,2766.0,0.0,0.0,0.0,24.2,64.7,0,normal_air
node_01,1780603450,2144.0,2738.0,0.0,0.0,0.0,24.2,64.5,0,normal_air
node_01,1780603455,2144.0,2741.0,0.0,0.0,0.0,24.2,64.7,0,normal_air
node_01,1780603460,2165.0,2751.0,0.0,0.0,0.0,24.2,64.8,0,normal_air
node_01,1780603465,2165.0,2765.0,0.0,0.0,0.0,24.2,64.6,0,normal_air
node_01,1780603470,2146.0,2740.0,0.0,0.0,0.0,24.3,64.9,0,normal_air
node_01,1780603475,2145.0,2739.0,0.0,0.0,0.0,24.2,64.7,0,normal_air
node_01,1780603480,2165.0,2743.0,0.0,0.0,0.0,24.3,64.8,0,normal_air
node_01,1780603485,2168.0,2767.0,0.0,0.0,0.0,24.3,64.8,0,normal_air
node_01,1780603490,2167.0,2764.0,0.0,0.0,0.0,24.3,64.7,0,normal_air
node_01,1780603495,2146.0,2737.0,0.0,0.0,0.0,24.3,64.6,0,normal_air
node_01,1780603500,2146.0,2740.0,0.0,0.0,0.0,24.3,64.6,0,normal_air
node_01,1780603505,2165.0,2766.0,0.0,0.0,0.0,24.3,64.6,0,normal_air
node_01,1780603510,2166.0,2763.0,0.0,0.0,0.0,24.3,64.4,0,normal_air
node_01,1780603515,2147.0,2765.0,0.0,0.0,0.0,24.3,64.7,0,normal_air
node_01,1780603520,2146.0,2739.0,0.0,0.0,0.0,24.3,64.5,0,normal_air
node_01,1780603525,2146.0,2738.0,0.0,0.0,0.0,24.3,64.6,0,normal_air
node_01,1780603530,2168.0,2765.0,0.0,0.0,0.0,24.4,64.6,0,normal_air
node_01,1780603535,2166.0,2763.0,0.0,0.0,0.0,24.4,64.5,0,normal_air
