voc_mv,co_mv,pm1_0,pm2_5,pm10,temperature,humidity,label_index,label
2165.0,2764.0,0.0,0.0,0.0,23.1,63.1,0,normal_air
2144.0,2737.0,0.0,0.0,0.0,23.1,63.0,0,normal_air
2165.0,2759.0,0.0,0.0,0.0,23.2,63.3,0,normal_air
2145.0,2739.0,0.0,0.0,0.0,23.2,63.2,0,normal_air
2152.0,2738.0,0.0,0.0,0.0,23.2,63.5,0,normal_air
2142.0,2737.0,0.0,0.0,0.0,23.2,63.4,0,normal_air
2166.0,2763.0,0.0,0.0,0.0,23.2,63.5,0,normal_air
2142.0,2739.0,0.0,0.0,0.0,23.2,63.7,0,normal_air
2165.0,2763.0,0.0,0.0,0.0,23.2,64.0,0,normal_air
2144.0,2745.0,0.0,0.0,0.0,23.3,63.8,0,normal_air
2165.0,2761.0,0.0,0.0,0.0,23.3,63.9,0,normal_air
2142.0,2734.0,0.0,0.0,0.0,23.3,65.9,0,normal_air
2142.0,2734.0,0.0,0.0,0.0,23.7,82.0,0,normal_air
2165.0,2762.0,0.0,1.0,1.0,23.7,84.1,0,normal_air
2146.0,2738.0,0.0,0.0,0.0,23.7,75.9,0,normal_air
2142.0,2734.0,0.0,0.0,0.0,23.7,70.5,0,normal_air
2147.0,2740.0,0.0,0.0,0.0,23.7,65.7,0,normal_air
2167.0,2765.0,0.0,0.0,0.0,23.8,65.5,0,normal_air
2146.0,2739.0,0.0,0.0,0.0,23.8,65.6,0,normal_air
2167.0,2766.0,0.0,0.0,0.0,23.9,65.6,0,normal_air
2155.0,2766.0,0.0,0.0,0.0,23.9,65.2,0,normal_air
2168.0,2749.0,0.0,0.0,0.0,24.0,65.2,0,normal_air
2147.0,2738.0,0.0,0.0,0.0,24.0,65.0,0,normal_air
2167.0,2766.0,0.0,0.0,1.0,24.0,65.1,0,normal_air
2163.0,2765.0,0.0,0.0,0.0,24.1,64.8,0,normal_air
2148.0,2740.0,0.0,0.0,0.0,24.1,64.9,0,normal_air
2146.0,2756.0,0.0,0.0,0.0,24.1,64.7,0,normal_air
2167.0,2764.0,0.0,0.0,0.0,24.1,64.7,0,normal_air
2167.0,2765.0,0.0,0.0,0.0,24.2,64.8,0,normal_air
2144.0,2739.0,0.0,0.0,0.0,24.2,64.9,0,normal_air
2166.0,2764.0,0.0,0.0,0.0,24.2,64.7,0,normal_air
2144.0,2741.0,0.0,0.0,0.0,24.2,64.7,0,normal_air
2165.0,2743.0,0.0,0.0,0.0,24.3,64.8,0,normal_air
2146.0,2737.0,0.0,0.0,0.0,24.3,64.6,0,normal_air
2166.0,2763.0,0.0,0.0,0.0,24.3,64.4,0,normal_air
